"Year","std_Weight","ARS","rel_ARS","Age","Centered_Age","Year2","animal","StagCode"
"1989",-1.84103559366904,0,0,5,-3.91425120772947,1989,358,358
"1989",-0.390794610723297,7,5.18425760286225,8,-0.914251207729469,1989,265,265
"1989",-0.488041090629279,7,5.18425760286225,8,-0.914251207729469,1989,265,265
"1989",1.67886416814533,2,1.48121645796064,10,1.08574879227053,1989,334,334
"1989",-2.027072337837,0,0,5,-3.91425120772947,1989,266,266
"1989",-2.060897200413,0,0,5,-3.91425120772947,1989,266,266
"1989",-1.58734912434908,0,0,5,-3.91425120772947,1989,310,310
"1989",-1.74378911376305,0,0,5,-3.91425120772947,1989,310,310
"1989",-1.38439994889312,0,0,8,-0.914251207729469,1989,212,212
"1989",0.125034543560611,2,1.48121645796064,10,1.08574879227053,1989,256,256
"1989",-0.944676735405197,2,1.48121645796064,7,-1.91425120772947,1989,190,190
"1989",-0.337943262948306,0,0,11,2.08574879227053,1989,145,145
"1989",0.391405336346563,1,0.740608228980322,8,-0.914251207729469,1989,309,309
"1989",0.505564247540543,1,0.740608228980322,8,-0.914251207729469,1989,309,309
"1989",-0.70790269737324,0,0,8,-0.914251207729469,1989,181,181
"1989",-1.68459560425506,0,0,7,-1.91425120772947,1989,230,230
"1989",-1.32520643938513,1,0.740608228980322,6,-2.91425120772947,1989,246,246
"1989",-1.62540209474708,1,0.740608228980322,6,-2.91425120772947,1989,374,374
"1989",-1.69305181989906,1,0.740608228980322,6,-2.91425120772947,1989,374,374
"1989",-1.31252211591913,0,0,6,-2.91425120772947,1989,206,206
"1989",-1.53238372266309,0,0,6,-2.91425120772947,1989,206,206
"1990",0.1884561608906,3,2.22182468694097,9,0.0857487922705307,1990,200,200
"1990",-0.31891677774931,3,2.22182468694097,9,0.0857487922705307,1990,146,146
"1990",-0.0905989553613504,3,2.22182468694097,9,0.0857487922705307,1990,146,146
"1990",-1.29560968463113,0,0,6,-2.91425120772947,1990,358,358
"1990",-1.4731902131551,0,0,6,-2.91425120772947,1990,358,358
"1990",0.285702640796582,3,2.22182468694097,9,0.0857487922705307,1990,265,265
"1990",0.568985864870531,3,2.22182468694097,9,0.0857487922705307,1990,265,265
"1990",-0.031405445853361,6,4.44364937388193,8,-0.914251207729469,1990,178,178
"1990",1.05099015657845,4,2.96243291592129,11,2.08574879227053,1990,239,239
"1990",0.0193318480106299,2,1.48121645796064,10,1.08574879227053,1990,198,198
"1990",0.0616129262306223,2,1.48121645796064,10,1.08574879227053,1990,198,198
"1990",-1.68459560425506,0,0,5,-3.91425120772947,1990,283,283
"1990",0.809988010724488,3,2.22182468694097,13,4.08574879227053,1990,238,238
"1990",0.750794501216499,3,2.22182468694097,13,4.08574879227053,1990,238,238
"1990",-0.132880033581343,8,5.92486583184258,7,-1.91425120772947,1990,325,325
"1990",-1.5112431835531,1,0.740608228980322,6,-2.91425120772947,1990,266,266
"1990",-1.66768317296707,1,0.740608228980322,6,-2.91425120772947,1990,266,266
